[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1524512899.231000 4/23/2018, 1:48:19 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, TC04-12-01K
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: TRMac_56K_0.02Kmin_VRMde_55K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1524512899.231,,0.000000e+000,5.500563e+001,-1.481182e-005,0.000000e+000,3,9.716192e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.319885e-003,0.000000e+000,0,,0,
1524512912.751,,0.000000e+000,5.499708e+001,-1.320032e-005,0.000000e+000,3,9.643679e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.620697e-003,0.000000e+000,0,,0,
1524512925.941,,0.000000e+000,5.499774e+001,-1.184026e-005,0.000000e+000,3,9.631281e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524512938.441,,0.000000e+000,5.499313e+001,-1.108196e-005,0.000000e+000,3,9.610248e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.892609e-003,0.000000e+000,0,,0,
1524512951.761,,0.000000e+000,5.499840e+001,-1.025208e-005,0.000000e+000,3,9.610826e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.900238e-003,0.000000e+000,0,,0,
1524512964.741,,0.000000e+000,5.499117e+001,-9.739261e-006,0.000000e+000,3,9.601256e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,9.208679e-003,0.000000e+000,0,,0,
1524512977.331,,0.000000e+000,5.499117e+001,-9.171894e-006,0.000000e+000,3,9.522034e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.568909e-003,0.000000e+000,0,,0,
1524512990.171,,0.000000e+000,5.500300e+001,-8.739024e-006,0.000000e+000,3,9.538483e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.580353e-003,0.000000e+000,0,,0,
1524513003.501,,0.000000e+000,5.499051e+001,-8.532807e-006,0.000000e+000,3,9.525027e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,7.888794e-003,0.000000e+000,0,,0,
1524513015.581,,0.000000e+000,5.499445e+001,-8.139094e-006,0.000000e+000,3,9.522526e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524513028.261,,0.000000e+000,5.499445e+001,-7.806621e-006,0.000000e+000,3,9.533508e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524513040.751,,0.000000e+000,5.499248e+001,-7.445125e-006,0.000000e+000,3,9.491830e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524513053.491,,0.000000e+000,5.499117e+001,-7.299091e-006,0.000000e+000,3,9.451177e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524513066.051,,0.000000e+000,5.499642e+001,-6.998090e-006,0.000000e+000,3,9.431524e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,3.940582e-003,0.000000e+000,0,,0,
1524513078.711,,0.000000e+000,5.499971e+001,-6.848947e-006,0.000000e+000,3,9.444864e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524513091.301,,0.000000e+000,5.500103e+001,-6.561423e-006,0.000000e+000,3,9.384338e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1524513103.961,,0.000000e+000,5.500235e+001,-6.454456e-006,0.000000e+000,3,9.436367e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,2.639771e-003,0.000000e+000,0,,0,
1524513116.531,,0.000000e+000,5.499709e+001,-6.141158e-006,0.000000e+000,3,9.374142e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.316071e-002,0.000000e+000,0,,0,
1524513129.531,,0.000000e+000,5.499117e+001,-6.066414e-006,0.000000e+000,3,9.421945e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.312256e-003,0.000000e+000,0,,0,
1524513142.191,,0.000000e+000,5.498919e+001,-5.879488e-006,0.000000e+000,3,9.368035e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,5.260468e-003,0.000000e+000,0,,0,
1524513154.741,,0.000000e+000,5.499643e+001,-5.699427e-006,0.000000e+000,3,9.332379e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.972961e-002,0.000000e+000,0,,0,
1524513167.931,,0.000000e+000,5.500037e+001,-5.634807e-006,0.000000e+000,3,9.283940e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,1.184082e-002,0.000000e+000,0,,0,
1524513181.121,,0.000000e+000,5.499117e+001,-5.383892e-006,0.000000e+000,3,9.433466e-001,0.000000e+000,,,,,,,,,,,,,,32,1,4.000000e+000,6.568909e-003,0.000000e+000,0,,0,
